Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0106,2026-06-27,Власне відкриття,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,2,"75,71 грн","80,25 грн","151,42 грн","160,50 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 13 → факт 11.
WRT-0107,2026-06-27,Власне відкриття,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,5,"63,19 грн","66,98 грн","315,95 грн","334,90 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 11 → факт 6.
WRT-0108,2026-06-27,Власне відкриття,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 7 → факт 6.
WRT-0109,2026-07-01,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,2,"57,61 грн","61,07 грн","115,22 грн","122,14 грн",для формування містері бокса,Продаж OC-FOP-0200; Pokémon Mystery Box
WRT-0110,2026-07-01,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,2,"41,07 грн","43,53 грн","82,14 грн","87,06 грн",для формування містері бокса,Продаж OC-FOP-0200; Pokémon Mystery Box
WRT-0111,2026-07-01,Інше,PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,1,"213,47 грн","226,28 грн","213,47 грн","226,28 грн",для формування містері бокса,Продаж OC-FOP-0200; Pokémon Mystery Box
WRT-0112,2026-07-01,Інше,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,1,"62,57 грн","66,32 грн","62,57 грн","66,32 грн",для формування містері бокса,Продаж OC-FOP-0200; One Piece Mystery Box
WRT-0113,2026-07-01,Інше,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,1,"82,67 грн","87,63 грн","82,67 грн","87,63 грн",для формування містері бокса,Продаж OC-FOP-0200; One Piece Mystery Box
WRT-0114,2026-07-01,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",для формування містері бокса,Продаж OC-FOP-0200; One Piece Mystery Box
WRT-0115,2026-07-01,Інше,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,1,"94,07 грн","99,72 грн","94,07 грн","99,72 грн",для формування містері бокса,Продаж OC-FOP-0200; One Piece Mystery Box
